brand,model,device_category,price,rating,cpu_brand,cpu_family,cpu_series,cpu_model,cpu_suffix,cpu_core_count,cpu_thread_count,cpu_p_cores,cpu_e_cores,cpu_lp_e_cores,ram_gb,storage_gb,display_width_px,display_height_px,display_size_inch,gpu_brand,gpu_series,gpu_model,gpu_vram_gb,gpu_type,os_name,warranty_years
lenovo,Lenovo IdeaPad Slim 3 83K100CJIN,Thin & Light,67990,55,Intel,Core,Core I7,13620H,H,10,16,6,4,,16,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
lenovo,Lenovo IdeaPad Pro 5 83D2004XIN Gaming,Gaming,110990,66,Intel,Core Ultra,Core Ultra 9,185H,H,16,22,6,8,2,32,1024,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
asus,Asus VivoBook 14 X409FJ-EK501T,Thin & Light,57524,54,Intel,Core,Core I5,8265U,U,4,8,,,,8,512,1920,1080,14,NVIDIA,GeForce MX,MX 230,2,Dedicated,Windows,1
msi,MSI Modern 15 B7M-428IN,General,37990,54,AMD,Ryzen,Ryzen 5,7530U,U,6,12,,,,8,512,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
dell,Dell 16 Alienware X16 R2 Gaming,Gaming,288490,80,Intel,Core Ultra,Core Ultra 9,185H,H,16,22,6,8,2,32,1024,2560,1600,16,NVIDIA,GeForce RTX,RTX 4070,8,Dedicated,Windows,1
acer,Acer Aspire Lite 15 AL15-41,General,27999,52,AMD,Ryzen,Ryzen 3,5300U,U,4,8,,,,8,256,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
dell,Dell 16 Inspiron 5640,General,90545,55,Intel,Core,Core 7,150U,U,10,12,2,8,,16,512,1920,1200,16,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
hp,HP Victus ‎15-fb0180AX Gaming,Gaming,62999,63,AMD,Ryzen,Ryzen 5,5600H,H,6,12,,,,8,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,4,Dedicated,Windows,1
hp,HP ‎15-fd0468TU,General,66990,55,Intel,Core,Core I7,1355U,U,10,12,2,8,,16,512,1920,1080,15,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
hp,HP 250 G10 ‎B10M3AT,General,44862,50,Intel,Core,Core I3,1315U,U,6,8,2,4,,16,512,1366,768,15,Intel,UHD,UHD Graphics,,Integrated,DOS,1
hp,HP 250R G9 ‎B10M4AT,Business,52978,54,Intel,Core,Core I5,1335U,U,10,12,2,8,,16,512,1366,768,15,Intel,UHD,UHD Graphics,,Integrated,DOS,1
lenovo,Lenovo V15 G4 ‎82C70081GE,General,35490,61,AMD,Ryzen,Ryzen 5,7520U,U,4,8,,,,16,512,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
msi,MSI Modern 14 C7M-285IN,General,49990,55,AMD,Ryzen,Ryzen 7,7730U,U,8,16,,,,16,512,1920,1080,14,AMD,Radeon,Radeon,,Integrated,Windows,1
msi,MSI Modern 14 C7M-284IN,General,38990,54,AMD,Ryzen,Ryzen 5,7530U,U,6,12,,,,8,512,1920,1080,14,AMD,Radeon,Radeon,,Integrated,Windows,1
msi,MSI Modern 15 B7M-445IN,General,37989,57,AMD,Ryzen,Ryzen 5,7430U,U,6,12,,,,16,512,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
msi,MSI Katana A15 AI B8VE-481IN Gaming,Gaming,81929,69,AMD,Ryzen,Ryzen 7,8840H,H,8,16,,,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 4050,6,Dedicated,Windows,2
msi,MSI Cyborg 15 A12UCX-1469IN Gaming,Gaming,62990,66,Intel,Core,Core I5,12450H,H,8,12,4,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 2050,4,Dedicated,Windows,1
msi,MSI Modern 14 C7M-283IN,General,39490,55,AMD,Ryzen,Ryzen 5,7530U,U,6,12,,,,16,512,1920,1080,14,AMD,Radeon,Radeon,,Integrated,Windows,1
msi,MSI Modern 15 B12MO-1049IN,General,35511,52,Intel,Core,Core I3,1215U,U,6,8,2,4,,16,512,1920,1080,15,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
asus,Asus ROG Strix G16 G614JU-N4200WS Gaming,Gaming,135990,71,Intel,Core,Core I7,13650HX,HX,14,20,6,8,,16,1024,1920,1200,16,NVIDIA,GeForce RTX,RTX 4050,6,Dedicated,Windows,1
hp,HP 14-em0214AU,General,46499,54,AMD,Ryzen,Ryzen 5,7530U,U,6,12,,,,16,512,1920,1080,14,AMD,Radeon,Radeon,,Integrated,Windows,1
lenovo,Lenovo ThinkPad E14 21JRS0JG00,Business,53490,60,AMD,Ryzen,Ryzen 5,7530U,U,6,12,,,,16,512,1920,1200,14,AMD,Radeon,Radeon,,Integrated,Windows,1
lenovo,Lenovo LOQ 2024 15ARP9 83JC00EFIN Gaming,Gaming,71990,65,AMD,Ryzen,Ryzen 5,7235HS,HS,4,8,,,,24,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,6,Dedicated,Windows,1
hp,HP Envy x360 14-fa0986AU,Convertible,141999,74,AMD,Ryzen,Ryzen 7,8840HS,HS,8,16,,,,32,1024,2880,1800,14,AMD,Radeon,Radeon,,Integrated,Windows,1
dell,Dell Latitude 3540,Business,37490,47,Intel,Core,Core I3,1215U,U,6,8,2,4,,16,512,1366,768,15,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
hp,HP 245 G10 B0WM3PT,General,25843,52,AMD,Ryzen,Ryzen 5,7520U,U,4,8,,,,8,512,1366,768,14,AMD,Radeon,Radeon,,Integrated,DOS,1
asus,Asus Chromebook CX1400CKA-NK0488,General,23799,34,Intel,Celeron,Celeron,N4500,,2,2,,,,4,128,1920,1080,14,Intel,UHD,UHD Graphics,,Integrated,Chrome,1
